AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,WS_HR,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,PM2.5
14.8,0.26,1.2,5.6,6.9,43.3,8,0.5,0.2,88,1.8,87,77,1.2,4
14.6,0.25,1.4,4.5,6,43.5,6,0.7,0.4,88,1.6,128,148,1.3,3
14.6,0.25,1.2,3.9,5.2,43.1,7,0.9,0.4,88,1.6,134,138,1.2,3
14.6,0.26,1.3,3.7,5.1,40.4,7,0.9,0.2,88,1.3,140,136,1.3,4
14.6,0.38,1.5,5.3,6.8,35,5,0.8,0,89,1.2,169,154,0.4,3
14.7,0.38,1.9,13.2,15.1,28.4,3,0.5,0.2,89,1.3,131,333,0.4,5
14.7,0.58,3.5,20.7,24.3,25.3,4,0.6,0.6,89,1.4,67,26,0.9,5
15,0.67,5.2,22.9,28.1,22.7,5,0.2,0.2,89,1.6,95,17,0.6,4
16,0.49,5,16.2,21.2,31.4,14,1.3,0,84,1.7,109,133,2.4,3
17.4,0.37,3.7,9.3,13,38.9,17,1.7,0,73,1.5,91,65,2.6,10
17,0.37,3.2,10.2,13.4,36.8,17,1.8,0,73,1.4,90,91,2.2,7
16.7,0.4,3,9.6,12.7,36.8,11,1.4,0,75,1.4,77,61,1.9,6
16,0.4,2.8,10.4,13.2,34.5,11,0.9,0,79,1.5,57,45,0.8,7
15.7,0.41,3.1,13.6,16.8,31.7,15,1,0,81,1.5,72,88,1.5,12
15.6,0.43,3.3,14.4,17.7,30.8,15,0.7,0,82,1.5,77,93,1.2,10
15.9,0.51,3.6,17.3,20.9,28.3,15,1,0,79,1.6,69,84,1.2,7
15.7,0.57,3.1,19.5,22.6,25.8,17,0.6,0,79,1.7,70,100,0.9,11
15.2,0.64,3.6,21.3,25,22.7,13,0.3,0.4,84,1.8,60,99,1.3,11
15,0.52,2.6,18.6,21.2,24.4,21,0.5,0.6,86,1.9,112,85,1.2,11
14.8,0.44,2.1,16.1,18.3,29.4,6,0.4,1.2,88,2.4,54,57,1.2,7
14.6,0.41,1.8,13,14.8,33.6,7,0.6,1.2,89,2.4,64,84,0.5,4
14.5,0.39,1.7,12.7,14.5,32.9,8,0.5,0.4,89,2.1,97,124,1.2,2
14.5,0.39,1.9,11.8,13.8,32.4,6,0.3,1,89,1.8,113,54,0.7,3
14.2,0.35,1.4,9.6,11,36.4,9,0.4,0.4,89,1.7,109,125,0.5,4
14.1,0.29,1,5.6,6.6,38.9,8,0.4,0.8,90,1.8,77,113,0.8,4
14,0.28,0.8,4.8,5.6,41.3,8,0.4,0.8,89,1.6,76,51,1.2,3
13.8,0.29,0.8,4.9,5.8,40.8,3,0.4,1.6,89,1.8,97,78,0.7,3
13.8,0.31,0.8,4.9,5.7,39.6,4,0.4,0.8,90,1.7,132,29,0.6,2
13.6,0.3,1,4.4,5.4,40.1,5,0.5,2,90,1.5,73,95,1.3,2
13.2,0.34,0.8,7.7,8.5,39.2,0,0.8,0.8,89,1.4,56,3,1.1,3
12.9,0.47,1.6,13,14.7,35.6,4,0.7,0.8,89,1.4,61,50,1.3,4
12.7,0.5,2.3,15.3,17.6,33.8,8,0.8,0.8,88,1.6,55,84,0.9,2
12.3,0.46,2.3,17.2,19.5,31.4,10,0.8,0.4,88,1.8,71,77,1.9,2
11.8,0.46,3.7,14.4,18.2,29,7,0.9,1,87,1.9,72,111,1.6,6
11.6,0.44,2.9,14,17,29.5,9,0.8,0.2,86,1.9,80,193,0.5,6
11.7,0.43,3,17.6,20.6,24.9,9,0.5,0.6,86,1.7,70,66,0.9,7
11.6,0.39,3.4,16.3,19.8,24,6,0.7,0.2,87,1.7,70,92,1.5,4
11.3,0.4,2.8,15.6,18.5,25,8,0.9,0.2,85,2,45,72,1.1,8
11,0.45,3.2,18.2,21.5,22.3,6,0.8,0.2,85,2.3,57,64,1.4,6
10.6,0.45,2.7,15.1,17.8,25.3,9,0.9,0.4,85,1.9,64,75,1.3,6
10.5,0.42,2.2,14.8,17.1,25,7,0.6,0.6,85,2,53,38,1.5,5
10.2,0.4,2,12.7,14.7,25.7,8,0.8,0.6,85,1.7,64,76,1,5
9.9,0.35,1.9,12.2,14.2,26.7,8,0.9,0.2,85,1.8,69,62,1.2,5
9.8,0.34,1.7,11.3,13,27.3,9,0.6,0,84,1.6,78,70,1.1,5
9.4,0.32,1.4,9.3,10.8,28.9,6,0.7,0.4,84,1.5,67,70,1.2,4
8.9,0.31,1,7.8,8.8,29.4,7,0.7,1,85,1.6,62,94,1,6
8.4,0.32,1.4,6.8,8.3,28.3,12,0.6,0.6,86,1.6,77,62,1.3,6
8,0.32,1.1,6,7.1,29.7,9,0.5,0.8,86,1.5,71,61,0.7,9
7.7,0.3,1,5.2,6.3,30.2,15,0.6,1,87,1.4,49,80,0.7,8
7.4,0.28,1.1,5.4,6.5,30.6,14,0.6,0.6,87,1.4,121,136,1,8
7.4,0.29,1.2,5.7,6.9,29.7,11,0.6,0.6,87,1.4,121,143,0.8,10
7.2,0.32,2.8,9.9,12.7,26,11,1,0.8,88,1.3,139,132,0.6,9
7.2,0.38,2.9,15.1,18,20.7,10,0.9,0.6,88,1.5,134,136,0.7,7
7.3,0.41,3.4,16.3,19.7,19,14,1,0.8,88,1.6,144,142,1.2,8
7.5,0.41,4.3,20.1,24.5,16.1,8,0.3,0.6,88,1.6,149,25,0.4,5
7.7,0.39,3.8,19.3,23.1,16.5,7,0,0.6,88,1.6,126,138,0.4,8
7.9,0.4,5.4,21.6,27.1,15.1,15,0.3,0.2,87,1.8,95,80,1.1,10
7.9,0.42,5.1,17.4,22.5,19,11,0.5,0.2,85,1.8,64,58,0.9,10
7.7,0.35,3.3,16.7,20.1,19.2,16,0.3,0.2,84,1.8,58,5,0.8,8
7.5,0.36,2.8,16.9,19.7,19.2,13,0.3,0,83,1.8,53,88,0.8,11
7.6,0.4,6.5,23.1,29.6,14.7,22,0.6,0,81,1.9,104,113,1.3,12
7.4,0.38,4.5,23.3,27.9,15.5,21,0.7,0.2,81,1.9,130,141,1.2,13
7.3,0.4,4.2,18.7,22.9,20.2,18,1.7,0,81,1.8,155,178,2.5,15
7.2,0.45,7.2,17.6,24.9,21.1,13,1.7,0,82,2,176,175,1.7,11
7.5,0.45,6,19.1,25.1,19.2,17,1.5,0,81,2,181,196,1.5,7
7.7,0.41,5.7,17,22.7,18.5,15,1.7,0,80,2.1,188,200,1.1,5
7.9,0.46,5.8,18.3,24.1,15.9,17,1.5,0,80,2.2,185,186,1.7,11
8.2,0.39,3.7,16.2,19.9,18.9,18,0.9,0,78,2.2,165,141,0.8,11
8.4,0.4,2.2,18.9,21.1,16.1,19,0.6,0,75,2.1,145,186,0.8,9
8.2,0.36,2.6,13,15.7,19.9,19,0.6,0,77,1.9,185,111,0.4,8
8.1,0.29,1.4,9.5,11,22.4,26,0.5,0,75,2.1,141,143,0.5,10
8.2,0.24,1.1,7.1,8.3,23.8,17,0.4,0,74,2.1,176,62,0.4,7
8.3,0.26,1.3,8.2,9.5,20.1,16,0.5,0,76,2.2,121,117,0.7,7
8.6,0.2,1.2,5,6.2,32.4,28,0.7,0,66,2.5,134,124,0.7,8
8.6,0.2,1.2,5,6.3,31.8,25,0.6,0,65,2.4,132,132,0.4,12
8.5,0.33,2,10.6,12.6,23.4,27,0.6,0,70,1.9,166,139,1,12
8.6,0.31,2.1,13.7,15.8,20.9,28,0.7,0,69,2.2,131,128,0.9,9
8.9,0.38,5,18.5,23.5,18.6,26,0.5,0,67,2.6,126,139,1.1,13
9.3,0.31,5.4,15.3,20.7,24,26,0.9,0,63,2.5,104,98,1.5,9
9.6,0.36,6.2,15.9,22.2,23.9,34,0.6,0,62,2.3,52,25,1.1,8
9.2,0.35,3.7,12.2,16,27.9,32,0.8,0,62,2.1,39,342,1.4,11
9.3,0.33,3.9,11.2,15.2,30.6,32,0.7,0,62,2.2,28,44,1.3,10
9.6,0.32,4.5,8.9,13.5,33.4,33,1,0,60,2.1,36,21,0.9,11
9.7,0.29,3.6,10.1,13.8,33.3,32,0.8,0,59,2.1,52,67,1.5,11
9.6,0.32,3.6,12.9,16.5,31.8,30,0.9,0,60,2,43,19,1,11
9.5,0.36,3.3,16.8,20.1,26.5,37,0.8,0,62,2.3,124,135,1.5,16
9.3,0.34,2.3,13,15.4,29.3,32,1.2,0,64,2.6,136,132,1.3,12
9.5,0.33,2.2,11.5,13.8,31.4,29,1.6,0,64,2.2,137,133,1.5,18
9.3,0.27,1.7,7.4,9.2,33.8,25,2.6,0,65,2,140,144,3.3,9
9.4,0.24,1.7,5.2,6.9,34.8,21,3,0,65,1.9,138,137,2.9,14
9.6,0.25,1.3,5.2,6.6,35.2,25,2.7,0,63,1.9,137,137,2.4,12
10,0.31,1.6,9.6,11.3,30.5,25,1.3,0,62,2,130,122,0.8,9
9.9,0.39,2.1,15.9,18,21.4,29,0.4,0,66,2,78,166,0.4,14
9.9,0.36,1.5,11,12.6,27.1,34,1,0,67,1.8,142,140,2.2,14
10.5,0.22,0.8,3.3,4.1,35.2,23,2.8,0,63,1.5,138,137,3.1,9
10.6,0.22,0.7,2.6,3.4,35.6,26,2.9,0,63,1.4,138,139,3.1,11
10.7,0.22,0.7,2.6,3.3,34.2,21,2.5,0,63,1.3,140,142,2.3,6
11,0.23,0.8,3.4,4.2,32.9,26,1.7,0,63,1.4,138,143,1.6,11
11.3,0.22,0.6,3.8,4.5,34.4,25,1.1,0,63,1.3,136,125,1.2,10
11.3,0.21,0.6,3.5,4.1,34.7,26,2.6,0,65,1.3,140,138,2.8,8
11.5,0.23,0.7,3.7,4.4,34.3,28,2.8,0,65,1.3,140,143,3.7,11
12.3,0.26,1.3,5.7,7,33.4,24,1.9,0,63,1.4,132,129,1.7,10
14.2,0.27,3,7.4,10.4,35.1,24,1.9,0,58,1.5,113,95,2.3,9
14.5,0.26,3.5,10.6,14.2,34.4,21,1.7,0,57,1.5,80,65,2.9,10
14.8,0.26,3,7.3,10.4,37,25,2.2,0,56,1.5,94,98,2.6,10
14.8,0.25,2.3,5.9,8.2,39.1,31,2.5,0,57,1.5,86,84,2.7,10
14.8,0.25,2.4,8.2,10.7,37.7,24,1.8,0,57,1.5,102,131,1.9,11
14.5,0.26,2.1,9.6,11.7,35.9,19,1.6,0,60,1.5,109,104,2.7,10
14.1,0.29,2,10.9,13,34.6,26,1.9,0,62,1.6,103,130,2.6,8
13.8,0.3,1.1,8.1,9.3,35,29,1.8,0,64,1.6,134,138,1.3,9
13.6,0.34,1.5,10.9,12.5,31.6,28,1.9,0,66,1.6,134,133,2.7,10
13.3,0.27,1.2,5.8,7,35.7,28,3.2,0,69,1.6,136,136,3.6,9
13.4,0.33,1.5,9.1,10.6,34.1,23,1.7,0,70,1.6,130,122,1.1,10
13.6,0.32,1.7,9.6,11.4,33.7,21,1.9,0,69,1.6,134,131,2.2,9
13.8,0.35,1.2,10.8,12,32.6,22,1.3,0,69,1.6,132,129,1.6,10
13.5,0.3,0.7,8.3,9,35.2,18,1.8,0,72,1.6,138,136,1.9,11
12.8,0.25,0.8,6.5,7.4,36.3,14,1.2,0,78,1.5,109,105,1.1,12
12.7,0.24,0.7,5.1,5.9,36.1,22,0.4,0,78,1.4,98,355,0.6,16
12.1,0.24,1.4,5.5,7,33.9,12,0.3,0.2,83,1.6,12,19,0.5,6
12.1,0.24,1.6,4.4,6,33.8,12,0.4,0.2,85,1.6,125,177,0.4,14
12,0.22,1.2,3.9,5.1,32.6,11,0.2,0.4,86,1.6,97,51,0.4,10
11.9,0.23,1.6,4.1,5.7,29.1,17,0.2,0.2,87,1.6,64,101,0.4,11
11.9,0.26,1.3,8.2,9.6,23.9,13,0.2,0,88,1.6,64,60,0.4,10
11.9,0.32,1.7,13.9,15.6,18.9,15,0.3,1,90,1.7,138,156,0.4,8
11.9,0.48,3.8,22,25.9,15.3,10,0.6,1.2,91,2,136,129,0.7,6
12,0.57,5.9,24.6,30.5,16.6,10,0.3,1.4,91,2.2,117,127,0.5,4
12.2,0.45,7.1,24.7,31.9,17.3,11,0.3,0.6,90,2.5,70,96,0.9,7
11.1,0.55,9.9,32.1,42,12.2,17,0.4,0.2,89,0.8,160,182,0.6,13
10.7,0.61,9.4,34.9,44.4,9.2,23,0.3,0.4,89,1,168,329,0.4,13
10.5,0.58,7.2,29.7,37,11.7,17,0.3,0.4,89,0.9,214,228,0.4,14
10.3,0.58,5.1,30.1,35.2,10.5,23,0.3,1.6,90,0.8,266,167,0.5,15
10.3,0.62,4.9,31,36,9.8,20,0.1,2.4,90,0.9,323,150,0.6,13
10,0.45,2.6,20.2,22.9,22.5,16,0.8,0.4,90,0.8,132,125,1,13
9.8,0.43,1.8,17.9,19.7,25.2,18,0.4,0.2,89,0.6,155,125,0.4,12
9.5,0.32,1.5,10.2,11.8,34.3,15,0.6,0.2,87,0.5,142,193,0.6,10
9.5,0.33,1.6,9.5,11.2,32,25,1.1,0.4,87,1.8,187,177,1,18
9.4,0.28,1.3,5.5,6.8,33.5,16,0.6,0.2,87,1.6,170,171,0.5,14
9.2,0.3,1.1,6.2,7.3,31.1,17,0.8,0.2,88,1.5,196,197,1.9,11
8.9,0.32,0.8,5.7,6.5,32.9,24,1.6,0.4,89,1.7,181,193,2.3,23
8.9,0.33,1.2,5.1,6.3,33.8,20,1.8,0,88,1.7,176,181,1.6,18
8.9,0.49,1.1,7.1,8.3,31.8,26,1.2,0,86,1.7,176,176,1.5,23
9,0.47,3.1,12,15.2,27,26,1.4,0,84,1.8,173,167,0.5,21
9.2,0.7,7.1,20.9,28,17.9,35,0.9,0,83,2,189,167,0.7,30
9.5,0.78,11.3,22.1,33.5,15.5,36,1,0,83,2.3,184,186,0.9,28
9.7,0.66,10.1,20.4,30.6,15.4,39,1,0,82,2.4,192,193,1.1,29
11.6,0.5,4,15.7,19.8,31.6,61,0.3,0,63,4,305,169,0.7,34
12.5,0.55,6.3,17.5,23.8,34.7,55,0.5,0,60,3.9,192,15,0.8,36
12.9,0.46,3.6,15.1,18.7,42.9,60,0.7,0,56,3.6,11,74,1.1,35
13.2,0.49,3.4,17.5,20.9,49,63,0.8,0,53,3.6,91,88,1.6,30
12.4,0.58,3.2,22.6,25.8,45.8,55,0.8,0,56,4.2,55,30,0.9,30
11.3,0.65,2.7,27.9,30.7,36.8,57,0.8,0,60,4.2,101,122,1.3,30
10.6,0.67,3.9,27.2,31.1,35,49,0.8,0,62,4.6,93,68,0.6,26
9.8,0.83,6,36.2,42.2,18.1,45,0.5,0,68,3.6,76,91,0.4,27
9.1,0.66,4.3,29.7,34,19.8,41,0.5,0,71,3.4,126,128,0.8,24
8.8,0.66,3.6,30,33.6,17.9,38,0.5,0,72,3.3,138,139,0.6,21
8.6,0.54,2.5,25.6,28.1,19.5,37,0.7,0,74,2.9,138,125,0.4,18
8.2,0.44,1.8,18.4,20.3,22.5,31,0.9,0,75,2.9,142,147,1.2,13
8.1,0.39,1.3,14.1,15.5,25.2,24,0.7,0,77,1.6,145,135,0.5,12
7.9,0.31,1.3,6.9,8.3,28,26,0.5,0,79,1.6,151,129,0.4,11
7.7,0.35,1.3,12,13.3,20.6,22,0.4,0,80,1.5,128,120,0.4,15
7.6,0.32,1.4,11.2,12.7,19.7,23,0.4,0,81,1.5,132,135,0.4,10
7.7,0.26,1.1,6.3,7.5,24.2,32,0.5,0,81,1.4,152,172,0.7,11
7.8,0.46,3.6,7.4,11,22.9,31,1.1,0,80,1.5,175,175,0.6,10
8,0.47,17.1,18.4,35.6,13.9,35,1,0,79,1.7,178,56,0.4,9
8.4,0.75,23.9,25.7,49.7,9.1,39,0.5,0,79,2.2,165,186,0.6,18
10.5,0.81,23.1,24.8,48,15.3,53,0.6,0,72,2.5,143,104,1.5,15
13.9,0.48,15.8,22.2,38.1,24.2,64,0.9,0,62,2.5,128,134,1.4,18
19.2,0.27,2.9,5.6,8.6,46.8,29,0.5,0,44,0.8,28,353,1.5,8
20.1,0.33,2.9,9.6,12.6,53.3,41,1.3,0,42,2,339,335,1.3,10
20.1,0.41,4.7,18.1,22.8,45.6,37,0.8,0,41,3.1,27,73,1.4,7
18.6,0.46,5.2,27.8,33,31,52,0.9,0,51,6.4,47,35,1.7,14
16.7,0.6,4.2,32.7,36.9,22.1,60,0.3,0,60,4.6,29,109,0.6,18
15.3,0.72,6.4,32.8,39.2,19.1,50,0.9,0,67,3.1,150,159,1,22
